"Seconds"	"AnalogResistanceExt_1"	"AnalogResistanceExt_2"
0.0	0	0
0.2	3016	12930
0.4	3013	12930
0.6	3007	12930
0.8	3009	12933
1.0	3006	12933
1.2	3001	12878
1.4	2998	12878
1.6	3000	12856
1.8	2997	12779
2.0	2997	12678
2.2	2992	12525
2.4	2994	12408
2.6	2993	12315
2.8	2990	12173
3.0	2985	11961
3.2	2980	11825
3.4	2982	11716
3.6	2984	11655
3.8	2984	11547
4.0	2979	11418
4.2	2979	11377
4.4	2978	11337
4.6	2978	11295
4.8	2980	11277
5.0	2977	11256
5.2	2974	11256
5.4	2974	11256
5.6	2974	11256
5.8	2971	11256
6.0	2968	11277
6.2	2968	11297
6.4	2970	11340
6.6	2965	11339
6.8	2962	11339
7.0	2962	11359
7.2	2961	11403
7.4	2957	11399
7.6	2959	11443
7.8	2956	11443
8.0	2958	11508
8.2	2955	11508
8.4	2952	11508
8.6	2952	11551
8.8	2949	11551
9.0	2946	11551
9.2	2946	11573
9.4	2945	11618
9.6	2940	11594
9.8	2940	11594
10.0	2937	11594
10.2	2939	11639
10.4	2939	11661
10.6	2934	11637
10.8	2931	11637
11.0	2926	11592
11.2	2928	11637
11.4	2923	11614
11.6	2925	11637
11.8	2922	11637
12.0	2920	11614
12.2	2919	11616
12.4	2919	11637
12.6	2918	11661
12.8	2916	11639
13.0	2913	11616
13.2	2913	11639
13.4	2916	11661
13.6	2907	11616
13.8	2905	11614
14.0	2910	11661
14.2	2907	11661
14.4	2904	11639
14.6	2901	11639
14.8	2901	11639
15.0	2898	11639
15.2	2895	11618
15.4	2895	11618
15.6	2892	11618
15.8	2892	11618
16.0	2887	11573
16.2	2887	11594
16.4	2886	11596
16.6	2883	11596
16.8	2883	11596
17.0	2883	11596
17.2	2880	11596
17.4	2880	11596
17.6	2873	11528
17.8	2872	11551
18.0	2869	11530
18.2	2869	11530
18.4	2869	11553
18.6	2869	11553
18.8	2866	11532
19.0	2866	11532
19.2	2863	11530
19.4	2863	11553
19.6	2860	11510
19.8	2862	11534
20.0	2862	11555
20.2	2855	11487
20.4	2857	11510
20.6	2852	11487
20.8	2851	11489
21.0	2848	11489
21.2	2848	11489
21.4	2850	11491
21.6	2847	11512
21.8	2845	11491
22.0	2845	11491
22.2	2842	11491
22.4	2840	11468
22.6	2842	11491
22.8	2839	11491
23.0	2837	11468
23.2	2836	11470
23.4	2833	11470
23.6	2833	11470
23.8	2835	11493
24.0	2834	11495
