"Seconds"	"BMSM1_G01_Therm1"	"BMSM1_G01_Therm2"	"BMSM1_G01_Therm3"	"BMSM1_G02_Therm1"	"BMSM1_G02_Therm2"	"BMSM1_G02_Therm3"	"BMSM1_G03_Therm1"	"BMSM1_G03_Therm2"	"BMSM1_G03_Therm3"
0.0	0	0	0	0	0	0	0	0	0
0.5	0	0	0	0	0	0	0	0	0
1.0	8522	8382	8280	8294	8366	8282	8632	8612	8874
1.5	8518	8378	8278	8296	8364	8282	8630	8610	8872
2.0	8518	8378	8278	8292	8364	8280	8626	8608	8870
2.5	8518	8374	8276	8292	8364	8280	8626	8606	8868
3.0	8518	8376	8276	8292	8362	8276	8624	8604	8866
3.5	8514	8374	8274	8290	8360	8278	8622	8604	8866
4.0	8514	8372	8274	8290	8360	8278	8624	8604	8866
4.5	8516	8374	8274	8290	8360	8278	8622	8602	8864
5.0	8514	8372	8272	8288	8358	8276	8622	8602	8866
5.5	8514	8372	8272	8288	8360	8276	8624	8600	8866
6.0	8514	8372	8274	8284	8356	8274	8622	8602	8862
6.5	8516	8372	8274	8286	8356	8272	8622	8598	8862
7.0	8512	8370	8270	8284	8356	8272	8620	8600	8864
7.5	8512	8370	8270	8284	8358	8272	8618	8598	8860
8.0	8512	8368	8272	8284	8356	8272	8620	8598	8862
8.5	8512	8368	8270	8284	8358	8272	8618	8596	8860
9.0	8512	8370	8272	8282	8356	8272	8618	8596	8860
9.5	8512	8368	8270	8282	8356	8270	8616	8594	8858
10.0	8512	8370	8270	8282	8356	8270	8618	8596	8860
10.5	8514	8368	8270	8282	8356	8272	8618	8596	8860
11.0	8512	8366	8268	8280	8356	8270	8616	8594	8858
11.5	8510	8368	8270	8280	8356	8270	8616	8596	8858
12.0	8512	8366	8272	8280	8354	8270	8616	8596	8858
12.5	8510	8366	8266	8280	8352	8268	8616	8596	8858
13.0	8512	8366	8272	8280	8356	8270	8616	8594	8858
13.5	8510	8368	8270	8278	8354	8270	8616	8594	8858
14.0	8510	8364	8266	8278	8352	8268	8618	8594	8856
14.5	8508	8366	8270	8278	8354	8266	8614	8590	8854
15.0	8512	8368	8272	8280	8354	8268	8614	8594	8856
15.5	8510	8364	8270	8278	8356	8270	8612	8592	8854
16.0	8510	8364	8268	8278	8354	8270	8614	8594	8856
16.5	8510	8366	8272	8278	8354	8270	8614	8594	8856
17.0	8508	8362	8268	8274	8352	8266	8612	8590	8854
17.5	8510	8364	8268	8278	8352	8268	8616	8594	8854
18.0	8510	8362	8270	8276	8352	8268	8612	8590	8854
18.5	8510	8366	8270	8276	8354	8268	8614	8592	8856
19.0	8510	8364	8272	8276	8352	8268	8612	8592	8854
19.5	8510	8364	8270	8274	8352	8268	8612	8592	8854
20.0	8510	8366	8272	8276	8356	8268	8610	8590	8852
20.5	8510	8364	8272	8276	8356	8270	8610	8590	8852
21.0	8510	8364	8270	8274	8354	8268	8612	8590	8854
21.5	8510	8364	8272	8272	8354	8266	8612	8590	8854
22.0	8510	8364	8272	8278	8358	8270	8610	8588	8852
22.5	8510	8366	8274	8274	8358	8270	8610	8588	8852
23.0	8512	8364	8272	8274	8356	8270	8612	8590	8854
23.5	8510	8364	8272	8274	8358	8268	8610	8588	8852
24.0	8508	8362	8272	8276	8358	8270	8610	8590	8852
24.5	8510	8366	8274	8276	8358	8272	8612	8588	8852
25.0	8508	8364	8272	8276	8360	8272	8610	8590	8854
25.5	8510	8364	8272	8276	8360	8272	8608	8588	8852
26.0	8510	8364	8274	8276	8360	8272	8608	8588	8852
26.5	8512	8366	8276	8274	8360	8272	8610	8588	8850
27.0	8510	8364	8274	8274	8360	8272	8610	8590	8852
27.5	8510	8364	8276	8276	8360	8272	8610	8588	8852
28.0	8510	8364	8274	8276	8360	8272	8610	8588	8852
28.5	8510	8366	8276	8274	8362	8272	8612	8592	8854
29.0	8510	8366	8276	8274	8362	8272	8610	8588	8852
29.5	8512	8366	8276	8276	8362	8274	8610	8588	8852
30.0	8512	8368	8278	8274	8362	8276	8608	8586	8850
30.5	8512	8366	8278	8274	8364	8274	8608	8586	8848
31.0	8512	8368	8280	8274	8362	8276	8608	8588	8852
31.5	8510	8366	8278	8276	8364	8276	8610	8588	8850
32.0	8510	8366	8280	8276	8366	8278	8608	8588	8850
32.5	8512	8366	8280	8276	8366	8276	8610	8588	8850
33.0	8512	8366	8280	8274	8366	8276	8606	8586	8850
33.5	8512	8370	8282	8276	8366	8276	8608	8588	8852
34.0	8510	8366	8278	8274	8366	8278	8608	8588	8850
34.5	8512	8368	8282	8276	8370	8278	8608	8588	8852
35.0	8510	8366	8282	8278	8370	8278	8610	8590	8850
35.5	8514	8368	8284	8278	8368	8276	8610	8588	8852
36.0	8514	8372	8284	8276	8370	8280	8608	8588	8850
36.5	8512	8366	8282	8274	8368	8280	8608	8588	8850
37.0	8514	8370	8286	8278	8372	8282	8610	8588	8850
37.5	8512	8368	8284	8278	8372	8282	8606	8586	8850
38.0	8512	8370	8284	8278	8372	8282	8608	8588	8852
38.5	8512	8370	8286	8278	8374	8282	8608	8584	8850
39.0	8512	8370	8284	8280	8374	8282	8608	8586	8848
39.5	8514	8370	8286	8278	8374	8282	8608	8588	8850
40.0	8512	8370	8288	8278	8378	8284	8608	8588	8848
40.5	8512	8370	8288	8278	8376	8282	8606	8584	8848
41.0	8512	8370	8288	8278	8378	8286	8608	8588	8850
